session	slug	answer_words
363	IntroV4Confirmation	1
363	okay_confirm	0
363	how_doingV	4
363	great_thanks	0
363	where_originally	5
363	really	1
363	like_about_LA	34
363	mhm	0
363	dont_like_LA	31
363	yeah2	6
363	see_mean	0
363	study	26
363	still_doing_X	35
363	change_directions	65
363	happy_didthat	21
363	thats_great	0
363	job_virtually	135
363	great_situation	0
363	shyoutgoing	72
363	tell_about_that	27
363	Ellie17Dec2012_06	83
363	okay_confirm	0
363	relax_fishtank	63
363	aw	0
363	control_temper	34
363	last_argument	122
363	yeah2	0
363	that_sucks	2
363	hard_decisionB	144
363	yeah_downer	0
363	been_hard	4
363	family_relationship	92
363	wow	65
363	yeah_downer	0
363	feelguilty	51
363	give_example	111
363	yeah_downer	0
363	describe_felt	30
363	im_sorry	0
363	ptsd_diagnosed	4
363	depression_diagnosed	4
363	easy_sleep	17
363	thats_good	0
363	feel_down	4
363	behavior_changes	67
363	thats_great	0
363	happy_lasttime	93
363	good_hear	0
363	self_change	67
363	symptoms_cope	68
363	mm	0
363	regret	97
363	yeah_downer	0
363	advice_back	67
363	uh_huh	0
363	Ellie17Dec2012_08	127
363	yeah3	0
363	difficult	55
363	mhm	0
363	BF_describe	65
363	uh_huh	0
363	ideal_weekendC	153
363	nice	0
363	asked_everything	0
363	appreciate_open	3
363	bye	1
364	IntroV4Confirmation	2
364	okay_confirm	0
364	how_doingV	53
364	thats_good	0
364	where_originally	40
364	really	3
364	like_about_LA	106
364	yeah2	0
364	see_mean	2
364	dont_like_LA	96
364	that_sucks	68
364	mm	43
364	mhm	0
364	travel_shoes	37
364	like_what	2
364	like_what	103
364	travel_trips	204
364	nice	46
364	wild_laughter3	4
364	study	42
364	change_directions	73
364	mhm	0
364	still_working_on_X	75
364	dream_job	47
364	aw	100
364	yeah3	13
364	shyoutgoing	120
364	okay_confirm	0
364	relax_fishtank	185
364	thats_great	49
364	yeah2	40
364	control_temper	119
364	uh_huh	16
364	last_argument	119
364	describe_felt	158
364	yeah_downer	13
364	mhm	0
364	situation_handled	10
364	im_sorry	300
364	isee_downer	0
364	family_relationship	63
