slug	canonical_text	variant	n
BF_describe	how would your best friend describe you	how would you best friend describe you	1
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	and please feel free to tell me anything your answers are totally confidential	50
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started	48
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	hi i'm ellie thanks for coming in today	47
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	i was created to talk to people in a safe and secure environment	47
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment	11
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential	5
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	i'm not a therapist but i'm here to learn about people and would love to learn about you	5
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	i'll ask a few questions to get us started	4
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential	2
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	i'm here to learn about people and would love to learn about you	1
IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started	1
advice_back	what advice would you give to yourself ten or twenty years ago	what advice would you give yourself ten or twenty years ago	62
asked_everything	okay i think i have asked everything i need to	okay i think i've asked everything i need to	56
avoid	could you have done anything to avoid it	okay could you have done anything to avoid it	1
been_hard	that sounds really hard	yeah that sounds really hard	2
difficult	how hard is that	yeah how hard is that	2
dont_like_LA	what are some things you don't really like about l a	mhm what are some things you don't really like about l a	1
easy_sleep	how easy is it for you to get a good night's sleep	how easy is it for you to get a good night sleep	1
hard_decision	how did you decide to do that	mhm how did you decide to do that	1
hard_decision	how did you decide to do that	awesome how did you decide to do that	1
how_doingV	so how are you doing today	okay so how are you doing today	10
how_doingV	so how are you doing today	how are you doing today	7
long_time	that's a long time	mhm that's a long time	1
often_backB	how often do you go back to your hometown	how often do you go back to your home town	9
often_backB	how often do you go back to your hometown	how often to you go back to your home town	1
parent_best	what's the best thing about being a parent	okay what's the best thing about being a parent	1
relax_fishtank	sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax	what do you do to relax	43
see_mean	i see what you mean	yeah i see what you mean	11
see_mean	i see what you mean	mhm i see what you mean	2
sorry_hear	i'm sorry to hear that	yeah i'm sorry to hear that	3
still_doing_X	are you still doing that	nice are you still doing that	1
study	what did you study at school	what'd you study at school	52
therapy_useful	do you feel like therapy is useful	do you feel like therapy's useful	15
trade_offs	there are always trade offs in life aren't there	yeah there are always tradeoffs in life aren't there	1
trade_offs	there are always trade offs in life aren't there	there are always tradeoffs in life aren't there	1
travel_changed	what do you enjoy about traveling	yeah what do you enjoy about traveling	1
travel_shoes	i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot	do you travel a lot	55
what_do_when_annoyed	what do you do when you are annoyed	what do you do when you're annoyed	45
when_LA	when did you move to l a	when'd you move to l a	15
why_LA	why did you move to l a	why'd you move to l a	32
