qid,n_speakers,speech_h,median_turn_s,share_speakers
where_originally,183,0.11183972222222226,1.3299999999999983,0.9682539682539683
last_argument,182,0.7141983333333329,2.4099999999999966,0.9629629629629629
control_temper,176,0.42974611111111116,2.25,0.9312169312169312
easy_sleep,172,0.48063999999999957,2.534999999999968,0.91005291005291
ellie17dec2012_08,171,0.7330516666666677,2.159999999999968,0.9047619047619048
depression_diagnosed,167,0.0919002777777781,0.6100000000000136,0.8835978835978836
how_doingv,167,0.0831891666666667,1.0,0.8835978835978836
ptsd_diagnosed,165,0.0641308333333337,0.5600000000000023,0.873015873015873
bye,163,0.05442166666666653,0.5,0.8624338624338624
bf_describe,163,0.5199238888888902,1.7000000000000455,0.8624338624338624
feel_lately,160,0.48489166666666744,2.2900000000000205,0.8465608465608465
like_about_la,158,0.3639011111111111,2.219999999999999,0.8359788359788359
regret,151,0.3500619444444449,2.0550000000000352,0.798941798941799
dont_like_la,145,0.27949277777777776,1.6600000000000108,0.7671957671957672
dream_job,144,0.3927633333333332,2.102499999999978,0.7619047619047619
influence_positive,144,0.39429611111111085,1.9350000000000307,0.7619047619047619
why2,135,0.552577222222222,2.2399999999998954,0.7142857142857143
appreciate_open,130,0.03274083333333332,0.6350000000000477,0.6878306878306878
memorableb,126,0.3846375,2.0649999999999693,0.6666666666666666
introv4confirmation,124,0.02364749999999999,0.4799999999999969,0.656084656084656
behavior_changes,124,0.2707102777777779,1.6900000000000546,0.656084656084656
sleep_affects,124,0.28498694444444456,1.990000000000009,0.656084656084656
happy_lasttime,121,0.46217138888888926,2.080000000000041,0.6402116402116402
tell_about_that,120,1.0128905555555558,2.3999999999999773,0.6349206349206349
advice_back,119,0.5032805555555547,1.9300000000000068,0.6296296296296297
relax_fishtank,119,0.3853913888888892,1.9499999999999886,0.6296296296296297
travel_changed,118,0.31530055555555564,2.739999999999995,0.6243386243386243
shyoutgoing,117,0.25266999999999973,2.163000000000011,0.6190476190476191
travel_trips,111,0.541946388888889,3.0700000000000074,0.5873015873015873
situation_handled,111,0.5993622222222224,2.1850000000000307,0.5873015873015873
study,111,0.1576811111111111,1.990000000000009,0.5873015873015873
travel_shoes,111,0.15893583333333333,2.019999999999982,0.5873015873015873
hard_decisionb,109,0.4824911111111112,2.1299999999999955,0.5767195767195767
hard_decision,105,0.38620000000000015,2.8944999999999936,0.5555555555555556
self_change,103,0.4051758333333333,1.919999999999959,0.544973544973545
ellie17dec2012_07,101,0.3831136111111116,1.5499999999999545,0.5343915343915344
describe_felt,99,0.33819277777777795,2.240000000000009,0.5238095238095238
memory_erase,97,0.46634999999999993,2.0750000000000455,0.5132275132275133
family_relationship,96,0.42256111111111133,2.533499999999975,0.5079365079365079
ellie17dec2012_10,95,0.3080669444444453,2.0299999999999727,0.5026455026455027
difficult,95,0.3113152777777778,2.4450000000000216,0.5026455026455027
still_working_on_x,84,0.0927552777777779,1.7949999999999946,0.4444444444444444
change_directions,77,0.3122344444444439,2.3900000000000006,0.4074074074074074
feelguilty,72,0.23386722222222214,2.07499999999996,0.38095238095238093
adapted_la,70,0.13186583333333327,2.4899999999999807,0.37037037037037035
been_hard,70,0.09843805555555564,1.329999999999984,0.37037037037037035
mhm,66,0.1825594444444447,1.4575000000000387,0.3492063492063492
why_seek_help,66,0.23202499999999995,2.201999999999998,0.3492063492063492
often_backb,64,0.0582833333333333,1.9300000000000068,0.3386243386243386
give_example,61,0.31884666666666683,2.339999999999918,0.32275132275132273
therapy_going,61,0.06430722222222231,1.5020000000000664,0.32275132275132273
really,61,0.02062916666666664,0.4299999999999926,0.32275132275132273
family_roleb,61,0.11911666666666665,2.0600000000000165,0.32275132275132273
symptoms_cope,61,0.22895555555555544,2.3904999999999745,0.32275132275132273
when_diagnosed,61,0.11929361111111073,1.8914999999999509,0.32275132275132273
mad_makeyou,60,0.18307333333333323,1.8899999999999864,0.31746031746031744
that_sucks,60,0.05724999999999994,1.199999999999946,0.31746031746031744
when_la,58,0.0504713888888889,1.6049999999999969,0.30687830687830686
happy_didthat,57,0.05423611111111103,1.144999999999996,0.30158730158730157
compares_la,57,0.1257933333333333,2.259999999999991,0.30158730158730157
like_what,56,0.2190472222222222,2.089999999999918,0.2962962962962963
bouts_symptoms,54,0.10520833333333361,1.7200000000000273,0.2857142857142857
feelbadly,54,0.21745333333333336,2.384999999999991,0.2857142857142857
