n_sessions	slug	canonical_text	med_answer_words	is_question
184	how_doingV	so how are you doing today	3	0
184	bye	goodbye	1	0
184	IntroV4Confirmation	hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this	0	0
183	where_originally	where are you from originally	4	0
182	last_argument	when was the last time you argued with someone and what was it about	27	1
181	okay_confirm	okay	0	0
180	asked_everything	okay i think i have asked everything i need to	0	0
179	appreciate_open	thanks for sharing your thoughts with me	2	0
178	thats_good	that's good	0	0
177	advice_back	what advice would you give to yourself ten or twenty years ago	29	1
176	control_temper	how are you at controlling your temper	14	1
173	easy_sleep	how easy is it for you to get a good night's sleep	19	1
172	mhm	mhm	0	0
171	Ellie17Dec2012_08	what are you most proud of in your life	30	1
167	depression_diagnosed	have you been diagnosed with depression	1	0
165	travel_shoes	i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot	8	1
165	really	really	1	0
165	ptsd_diagnosed	have you ever been diagnosed with p t s d	1	0
164	BF_describe	how would your best friend describe you	15	1
162	study	what did you study at school	8	1
161	relax_fishtank	sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax	19	1
160	feel_lately	how have you been feeling lately	19	1
158	like_about_LA	what are some things you really like about l a	19	1
153	see_mean	i see what you mean	0	0
151	regret	is there anything you regret	10	1
146	dont_like_LA	what are some things you don't really like about l a	13	1
144	influence_positive	who's someone that's been a positive influence in your life	14	1
144	dream_job	what's your dream job	17	1
142	thats_great	that's great	0	0
136	why2	why	18	1
136	uh_huh	uh huh	0	0
126	memorableB	what's one of your most memorable experiences	15	1
124	sleep_affects	what are you like when you don't sleep well	17	1
124	behavior_changes	have you noticed any changes in your behavior or thoughts lately	9	1
121	happy_lasttime	tell me about the last time you felt really happy	29	1
120	tell_about_that	can you tell me about that	35	1
119	travel_changed	what do you enjoy about traveling	20	1
117	shyoutgoing	do you consider yourself more shy or outgoing	13	1
115	cool3	cool	0	0
114	nice	nice	0	0
113	awesome	awesome	0	0
111	travel_trips	i'd love to hear about one of your trips	34	0
111	situation_handled	tell me about a situation that you wish you had handled differently	38	1
109	hard_decisionB	tell me about the hardest decision you've ever had to make	21	1
106	hard_decision	how did you decide to do that	31	1
103	self_change	what are some things you wish you could change about yourself	29	1
101	Ellie17Dec2012_07	what would you say are some of your best qualities	32	1
99	describe_felt	how did you feel in that moment	19	1
97	mm	mm	0	0
97	memory_erase	tell me about an event or something that you wish you could erase from your memory	36	1
97	difficult	how hard is that	18	1
96	family_relationship	tell me about your relationship with your family	46	1
95	yeah_downer	yeah	0	0
95	Ellie17Dec2012_10	tell me about something you did recently that you really enjoyed	25	1
94	good_hear	that's so good to hear	0	0
93	understand	i understand	0	0
84	yeah3	yeah	0	0
84	still_working_on_X	are you still working in that	6	1
81	aw	aw	0	0
77	change_directions	what made you decide to do that	22	1
77	been_hard	that sounds really hard	3	0
76	why_LA	why did you move to l a	11	1
75	yeah2	yeah	0	0
74	often_backB	how often do you go back to your hometown	7	1
73	when_LA	when did you move to l a	6	1
72	feelguilty	what's something you feel guilty about	20	1
70	adapted_LA	how easy was it for you to get used to living in l a	15	1
67	that_sucks	that sucks	2	0
66	why_seek_help	what got you to seek help	30	1
62	family_roleB	how close are you to your family	12	1
61	when_diagnosed	how long ago were you diagnosed	9	1
61	therapy_going	do you still go to therapy now	3	0
61	symptoms_cope	how do you cope with them	25	1
61	give_example	can you give me an example of that	32	1
60	sorry_hear	i'm sorry to hear that	1	0
60	mad_makeyou	what are some things that make you really mad	19	1
58	isee_downer	i see	0	0
57	happy_didthat	are you happy you did that	4	0
57	compares_LA	how does it compare to l a	17	1
56	sounds_interesting	that sounds interesting	0	0
56	like_what	like what	25	1
55	im_sorry	i'm sorry	0	0
54	military	have you ever served in the military	1	0
54	feelbadly	tell me about a time when someone made you feel really badly about yourself	35	1
54	bouts_symptoms	when was the last time that happened	7	1
53	great_situation	that sounds like a great situation	2	0
52	wild_laughter3		2	0
50	what_do_when_annoyed	what do you do when you are annoyed	16	1
50	makes_sense	that makes sense	0	0
49	ideal_weekendC	tell me how you spend your ideal weekend	37	1
48	more	tell me more about that	27	1
48	Ellie17Dec2012_09	what are some things that usually put you in a good mood	17	1
48	Ellie17Dec2012_06	wow	0	0
46	wow	wow	1	0
46	trigger	are they triggered by something	21	0
46	therapy_useful	do you feel like therapy is useful	5	1
44	mind	whatever comes to your mind	25	1
44	landed_trouble	has that gotten you in trouble	12	0
42	easy_parent	do you find it easy to be a parent	12	1
41	hmm_downer	hmm	0	0
39	parent_hardest	what's the hardest thing about being a parent	25	1
39	avoid	could you have done anything to avoid it	15	1
38	parent_best	what's the best thing about being a parent	23	1
36	yes	yes	9	0
36	therapy_changes	what sort of changes have you noticed since you've been going to therapy	39	1
31	right2	right	1	0
30	do_fun	what are some things you like to do for fun	21	1
