question,n_sessions,share_sessions,median_position,position_iqr
introv confirmation hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this,123,0.6507936507936508,0.0,0.0
okay confirm okay how doingv so how are you doing today,119,0.6296296296296297,0.018518518518518517,0.004166666666666666
depression diagnosed have you been diagnosed with depression,102,0.5396825396825397,0.7182539682539683,0.10490190461640314
tell about that can you tell me about that,93,0.49206349206349204,0.5370370370370371,0.33093220338983054
why why,93,0.49206349206349204,0.3508771929824561,0.3920373991855749
thats good that's good where originally where are you from originally,86,0.455026455026455,0.038098693759071114,0.007768361581920902
happy lasttime tell me about the last time you felt really happy,83,0.43915343915343913,0.7758620689655172,0.10052910052910047
bye goodbye,81,0.42857142857142855,1.0,0.0
dream job what's your dream job,75,0.3968253968253968,0.2945998071359691,0.11650094696969701
advice back what advice would you give to yourself ten or twenty years ago,74,0.3915343915343915,0.9,0.06088671519989508
last argument when was the last time you argued with someone and what was it about,72,0.38095238095238093,0.4074074074074074,0.08108247229709492
mhm mhm,66,0.3492063492063492,0.49259815490238146,0.5500272331154684
travel changed what do you enjoy about traveling,65,0.3439153439153439,0.19298245614035087,0.0905695078640284
travel trips i'd love to hear about one of your trips,64,0.3386243386243386,0.21052631578947367,0.09076923076923077
feel lately how have you been feeling lately,62,0.328042328042328,0.660865617433414,0.10322180290675476
really really,61,0.32275132275132273,0.058823529411764705,0.017173615857826383
self change what are some things you wish you could change about yourself,57,0.30158730158730157,0.851063829787234,0.07963163596966416
sleep affects what are you like when you don't sleep well,57,0.30158730158730157,0.6132478632478633,0.10086253369272236
relax fishtank sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,56,0.2962962962962963,0.35634920634920636,0.1031746031746032
describe felt how did you feel in that moment,54,0.2857142857142857,0.4489795918367347,0.1764705882352941
behavior changes have you noticed any changes in your behavior or thoughts lately,54,0.2857142857142857,0.6879648411088574,0.08943389592123763
difficult how hard is that,52,0.2751322751322751,0.3728813559322034,0.2676907177231642
often backb how often do you go back to your hometown,51,0.2698412698412698,0.09090909090909091,0.027223389355742297
bf describe how would your best friend describe you,49,0.25925925925925924,0.8452950558213717,0.06596244131455398
ptsd diagnosed have you ever been diagnosed with p t s d,49,0.25925925925925924,0.7037037037037037,0.08529301978350134
regret is there anything you regret,49,0.25925925925925924,0.864406779661017,0.06140350877192979
yeah yeah,49,0.25925925925925924,0.5355477855477855,0.5092230727907602
have you ever been diagnosed with p t s d,49,0.25925925925925924,0.5373134328358209,0.11930783242258658
change directions what made you decide to do that,49,0.25925925925925924,0.43333333333333335,0.2833333333333333
hard decision how did you decide to do that,48,0.25396825396825395,0.2845238095238095,0.13052925719664288
like what like what,48,0.25396825396825395,0.5471698113207547,0.45344129554655876
ellie dec what are you most proud of in your life,47,0.24867724867724866,0.9583333333333334,0.028884590586718217
okay so how are you doing today,47,0.24867724867724866,0.016666666666666666,0.005906696011738028
like about la what are some things you really like about l a,46,0.24338624338624337,0.09090909090909091,0.06937482595377331
dont like la what are some things you don't really like about l a,46,0.24338624338624337,0.12121212121212122,0.06978868755328678
have you been diagnosed with depression,45,0.23809523809523808,0.5909090909090909,0.1383647798742138
hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this,45,0.23809523809523808,0.0,0.0
uh huh uh huh,44,0.2328042328042328,0.5850286906624935,0.434493899440654
shyoutgoing do you consider yourself more shy or outgoing,42,0.2222222222222222,0.306715291750503,0.07221962359674222
situation handled tell me about a situation that you wish you had handled differently,42,0.2222222222222222,0.478713768115942,0.12122926093514336
why,42,0.2222222222222222,0.3193502824858757,0.3070157149398221
wild laughter laughter,41,0.21693121693121692,0.49206349206349204,0.5
goodbye,41,0.21693121693121692,1.0,0.0
okay confirm okay,40,0.21164021164021163,0.5217391304347826,0.36446816755035927
control temper how are you at controlling your temper,40,0.21164021164021163,0.37592968221771467,0.08483709273182954
that's good where are you from originally,39,0.20634920634920634,0.03389830508474576,0.012412480974124812
family relationship tell me about your relationship with your family,39,0.20634920634920634,0.5121951219512195,0.14362501120975701
easy sleep how easy is it for you to get a good night's sleep,39,0.20634920634920634,0.5932203389830508,0.10591269841269835
see mean i see what you mean travel shoes i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot,38,0.20105820105820105,0.1259920634920635,0.0591096995361968
what advice would you give yourself ten or twenty years ago,38,0.20105820105820105,0.891566265060241,0.0946582875098193
memory erase tell me about an event or something that you wish you could erase from your memory,38,0.20105820105820105,0.5584795321637427,0.10559116809116809
still working on x are you still working in that,37,0.19576719576719576,0.2545454545454545,0.11447811447811448
memorableb what's one of your most memorable experiences,36,0.19047619047619047,0.2488716956802063,0.10806748328622065
hard decisionb tell me about the hardest decision you've ever had to make,36,0.19047619047619047,0.49528301886792453,0.1096813725490196
happy didthat are you happy you did that,36,0.19047619047619047,0.264015465341066,0.24527731015356058
when la when did you move to l a,34,0.17989417989417988,0.07407407407407407,0.016778682854080768
influence positive who's someone that's been a positive influence in your life,34,0.17989417989417988,0.5793650793650793,0.20799204927872794
what's your dream job,34,0.17989417989417988,0.2127659574468085,0.13902907954818552
what are you like when you don't sleep well,34,0.17989417989417988,0.6818488529014846,0.12409475724194197
asked everything okay i think i have asked everything i need to appreciate open thanks for sharing your thoughts with me,34,0.17989417989417988,0.9822994987468672,0.005162180814354711
yeah downer yeah,33,0.1746031746031746,0.5363540569020021,0.2335400537944427
compares la how does it compare to l a,33,0.1746031746031746,0.10714285714285714,0.026051475204017585
feelbadly tell me about a time when someone made you feel really badly about yourself,33,0.1746031746031746,0.8421052631578947,0.06974941875484364
awesome awesome,32,0.1693121693121693,0.3684210526315789,0.52361673414305
ellie dec tell me about something you did recently that you really enjoyed,32,0.1693121693121693,0.8813559322033898,0.10655663780663771
thats great that's great,32,0.1693121693121693,0.6428571428571428,0.4960661157946385
